cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
1784,582.01,cc_longest,175.6,1.0725,1.8414,3.997,176.4,27,"197,232;173,246"
1472,579.24,polyline,,,1.6687,,,0,
3737,572.53,polyline,,,1.5964,,,0,
1932,572.53,polyline,,,1.9546,,,27,
669,570.57,polyline,,,1.8355,,,24,
4447,569.18,polyline,,,3.7446,,,26,
2707,563.06,cc_longest,174.29,1.027,1.6162,2.811,179.6,36,"282,161;284,189"
2677,555.78,polyline,,,2.7598,,,27,
4524,544.91,polyline,,,1.8012,,,33,
2058,543.52,polyline,,,1.2749,,,28,
1437,539.6,cc_longest,171.87,1.0465,1.7399,3.767,179.9,23,"154,146;138,167"
882,517.29,polyline,,,2.0645,,,0,
2836,515.33,cc_longest,126.38,1.0899,1.6369,3.23,173.7,25,"311,311;292,326"
4252,510.59,polyline,,,1.3368,,,23,
2172,502.5,cc_longest,177.4,1.1731,0.6622,0.954,176.0,55,"229,116;220,96"
1994,495.8,cc_longest,180.0,1.0642,1.9253,3.563,176.4,23,"214,146;194,159"
623,495.8,polyline,,,1.4636,,,21,
1438,493.02,polyline,,,1.7288,,,25,
3992,487.71,cc_longest,180.0,1.3542,1.3352,9.608,132.9,110,"438,154;420,150"
1180,476.27,cc_longest,180.0,1.0592,1.8164,4.411,175.0,27,"129,302;110,289"
2092,470.14,polyline,,,1.8702,,,25,
4333,468.18,cc_longest,180.0,1.093,1.4317,2.675,163.4,31,"469,309;454,325"
2375,468.18,polyline,,,2.4271,,,31,
1810,463.44,polyline,,,1.9227,,,21,
220,462.05,polyline,,,4.5458,,,0,
4183,461.47,polyline,,,1.7881,,,18,
4319,460.08,polyline,,,1.528,,,20,
602,458.7,polyline,,,1.9364,,,22,
51,457.31,polyline,,,1.2475,,,24,
4646,455.35,polyline,,,2.5162,,,21,
3117,451.99,polyline,,,2.3652,,,20,
398,448.64,polyline,,,1.8135,,,0,
4292,445.29,cc_longest,180.0,1.2135,1.7927,3.062,138.4,20,"466,328;449,336"
2367,443.9,polyline,,,2.8702,,,27,
2390,439.17,polyline,,,2.0774,,,21,
1092,435.81,cc_longest,180.0,1.1313,1.9992,3.85,158.9,29,"116,435;99,425"
792,427.72,polyline,,,1.62,,,20,
3672,427.72,polyline,,,1.2667,,,20,
2156,427.72,polyline,,,2.3754,,,20,
1194,417.67,polyline,,,2.1092,,,17,
2774,414.9,polyline,,,1.4643,,,21,
4285,388.66,polyline,,,2.2534,,,23,
3991,388.66,polyline,,,1.3405,,,0,
4692,385.31,polyline,,,2.5083,,,0,
2474,383.92,polyline,,,1.5913,,,19,
4061,381.96,cc_longest,180.0,1.0606,1.7503,3.394,165.9,17,"437,387;425,401"
3661,380.57,polyline,,,1.4899,,,18,
1080,377.22,cc_longest,180.0,1.1041,1.592,2.575,160.9,19,"107,380;98,395"
4032,377.22,cc_longest,180.0,1.0797,1.8126,3.553,171.2,23,"438,494;422,502"
1512,377.22,polyline,,,2.4746,,,37,
3599,375.83,polyline,,,1.3579,,,0,
3031,373.87,polyline,,,1.6875,,,0,
3144,372.48,polyline,,,1.5763,,,18,
2827,369.13,polyline,,,1.635,,,17,
4286,369.13,polyline,,,1.5207,,,17,
3510,367.74,polyline,,,1.8814,,,19,
110,365.78,polyline,,,1.0631,,,17,
3405,364.39,polyline,,,1.2302,,,18,
3377,362.43,polyline,,,1.4222,,,15,
3105,362.43,polyline,,,1.1459,,,0,
3044,361.04,polyline,,,1.4244,,,0,
1533,357.69,cc_longest,180.0,1.1004,1.7384,6.89,170.3,22,"162,390;148,381"
1834,357.69,cc_longest,180.0,1.2209,0.6491,0.998,163.2,43,"186,96;186,81"
3001,357.69,polyline,,,1.5366,,,16,
2632,352.95,polyline,,,1.4933,,,17,
4318,349.6,polyline,,,1.4771,,,16,
4559,342.9,polyline,,,1.7645,,,14,
3217,341.51,polyline,,,1.2794,,,16,
562,341.51,polyline,,,1.363,,,0,
3137,341.51,polyline,,,1.9303,,,16,
2328,338.16,cc_longest,180.0,1.2367,0.8043,1.885,149.3,17,"234,109;234,95"
661,333.42,polyline,,,1.3408,,,0,
4657,330.07,polyline,,,2.0533,,,0,
4515,330.07,polyline,,,1.2065,,,21,
1988,328.68,polyline,,,1.7417,,,17,
2168,321.98,polyline,,,1.2857,,,15,
3935,321.98,cc_longest,180.0,1.2644,1.8773,6.06,119.4,22,"423,9;412,16"
486,320.59,polyline,,,1.2609,,,18,
3914,318.63,polyline,,,1.5597,,,14,
3569,318.63,polyline,,,1.1398,,,15,
2624,317.24,polyline,,,1.7115,,,16,
894,317.24,polyline,,,1.294,,,0,
4719,313.89,polyline,,,0.6127,,,21,
3750,307.19,polyline,,,1.5862,,,17,
990,305.8,polyline,,,1.8315,,,15,
4367,299.1,polyline,,,1.7122,,,13,
3301,297.71,polyline,,,1.4341,,,15,
2207,297.71,polyline,,,2.4836,,,15,
2481,297.71,polyline,,,1.5664,,,18,
3592,297.71,polyline,,,1.2681,,,15,
1675,294.36,polyline,,,1.2975,,,14,
2236,294.36,polyline,,,1.2684,,,0,
4222,291.01,polyline,,,1.5831,,,13,
314,291.01,polyline,,,1.2859,,,13,
2577,291.01,polyline,,,1.8284,,,15,
2083,289.62,polyline,,,1.987,,,15,
341,287.65,polyline,,,0.841,,,12,
4648,286.27,polyline,,,2.1286,,,14,
281,286.27,polyline,,,1.7686,,,14,
4378,286.27,polyline,,,1.8289,,,14,
2567,282.92,cc_longest,180.0,1.2704,1.825,3.36,160.8,22,"267,216;258,209"
3894,282.92,cc_longest,180.0,1.1907,1.1902,2.561,138.6,16,"408,381;406,369"
303,279.56,polyline,,,1.0259,,,12,
2881,271.47,polyline,,,1.5464,,,12,
1097,271.47,polyline,,,1.0157,,,0,
1777,266.74,cc_longest,180.0,1.3657,0.977,1.829,110.8,21,"173,2;179,10"
693,266.74,cc_longest,180.0,1.1226,1.4584,2.62,159.2,17,"69,468;57,470"
806,266.74,polyline,,,1.8717,,,13,
3638,263.38,cc_longest,180.0,1.2259,0.6448,0.881,140.1,20,"381,152;381,141"
2195,258.65,polyline,,,1.3272,,,16,
2291,255.29,polyline,,,1.2681,,,12,
1228,255.29,polyline,,,1.6175,,,12,
1551,255.29,polyline,,,1.2113,,,12,
4191,255.29,cc_longest,180.0,1.3071,1.6442,3.049,118.0,15,"445,181;439,173"
4548,255.29,polyline,,,1.8261,,,12,
2114,255.29,polyline,,,0.7178,,,0,
4703,251.94,polyline,,,2.0641,,,11,
4279,250.56,polyline,,,1.7531,,,13,
3536,248.59,polyline,,,2.2079,,,10,
1321,247.2,polyline,,,1.6582,,,12,
1033,247.2,cc_longest,180.0,1.3728,1.673,3.345,111.9,13,"102,191;95,185"
3255,247.2,polyline,,,1.0591,,,12,
1183,243.85,cc_longest,180.0,1.095,1.8159,3.592,167.8,13,"117,353;110,362"
3179,243.85,cc_longest,180.0,1.2243,0.9356,1.695,112.8,14,"341,381;331,383"
4411,243.85,cc_longest,180.0,1.2485,2.0897,3.068,121.7,14,"471,373;463,367"
3659,242.47,cc_longest,180.0,1.0309,1.8357,5.254,171.7,14,"383,75;382,87"
2163,242.47,polyline,,,1.2948,,,13,
3314,240.5,polyline,,,1.7456,,,10,
1422,239.11,polyline,,,1.3853,,,0,
911,239.11,polyline,,,1.8982,,,12,
4659,239.11,polyline,,,1.3314,,,12,
1324,235.76,polyline,,,1.2442,,,11,
386,235.76,polyline,,,1.4117,,,23,
4363,234.38,polyline,,,1.2919,,,13,
711,232.41,polyline,,,1.4207,,,10,
179,232.41,polyline,,,1.0844,,,10,
3007,231.02,polyline,,,1.5843,,,12,
724,231.02,polyline,,,1.4168,,,12,
3826,227.67,polyline,,,1.3648,,,11,
4156,224.32,polyline,,,1.5014,,,10,
3919,224.32,polyline,,,1.5757,,,10,
2422,224.32,polyline,,,1.4231,,,10,
2837,224.32,polyline,,,1.6986,,,10,
4716,224.32,cc_longest,180.0,1.0618,1.6429,3.381,167.8,15,"508,26;502,17"
2822,222.93,polyline,,,2.1602,,,12,
2913,219.58,cc_longest,180.0,1.3945,0.8851,2.033,166.7,16,"310,509;302,510"
3025,216.23,cc_longest,180.0,1.287,0.6546,0.917,157.5,20,"322,129;315,134"
3697,216.23,polyline,,,1.2704,,,10,
114,212.88,polyline,,,1.6605,,,11,
2982,212.88,polyline,,,1.2052,,,9,
2674,212.88,polyline,,,1.7757,,,9,
1371,212.88,cc_longest,180.0,1.0253,2.1706,3.155,171.1,10,"138,282;130,275"
1526,212.88,polyline,,,1.9681,,,11,
209,211.49,polyline,,,1.3026,,,11,
1879,211.49,polyline,,,1.0642,,,11,
2755,208.14,polyline,,,2.754,,,10,
4131,208.14,polyline,,,1.3672,,,0,
3582,208.14,polyline,,,0.9642,,,10,
