cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
875,219.58,polyline,,,2.0001,,,11,
550,216.23,polyline,,,0.78,,,10,
1696,216.23,polyline,,,0.7757,,,10,
2876,216.23,polyline,,,1.0534,,,10,
3034,216.23,polyline,,,1.735,,,0,
2479,211.49,polyline,,,0.7522,,,11,
759,211.49,polyline,,,1.2196,,,11,
3171,208.14,polyline,,,0.9918,,,10,
2862,208.14,polyline,,,4.6876,,,0,
2780,204.79,polyline,,,2.1576,,,9,
1180,203.4,polyline,,,0.9593,,,11,
265,200.05,polyline,,,0.8735,,,11,
1997,200.05,polyline,,,0.9365,,,10,
1462,196.7,polyline,,,1.1559,,,9,
2906,196.7,cc_longest,180.0,1.1787,0.8238,1.42,150.5,10,"388,479;385,471"
1672,196.7,polyline,,,0.7709,,,9,
1870,196.7,polyline,,,0.9209,,,9,
3089,196.7,polyline,,,0.9048,,,9,
2983,191.96,polyline,,,1.2027,,,10,
3914,191.96,cc_longest,180.0,1.2584,1.377,2.154,107.1,15,"500,476;494,481"
659,188.61,polyline,,,1.1359,,,9,
2868,188.61,polyline,,,1.2038,,,9,
1621,188.61,polyline,,,1.1241,,,9,
3997,188.61,polyline,,,1.0383,,,9,
475,185.26,polyline,,,0.6787,,,8,
2050,185.26,polyline,,,1.0704,,,8,
2108,185.26,polyline,,,0.9262,,,8,
1662,185.26,polyline,,,0.8224,,,8,
3535,185.26,polyline,,,1.227,,,8,
3990,183.87,polyline,,,1.0579,,,10,
2302,183.87,polyline,,,0.7554,,,10,
3386,183.87,polyline,,,1.0062,,,10,
237,183.87,polyline,,,1.185,,,10,
1839,180.52,cc_longest,180.0,1.1464,2.1521,4.272,126.3,9,"241,301;240,309"
1620,180.52,polyline,,,0.8557,,,9,
3876,180.52,polyline,,,1.0082,,,9,
632,180.52,cc_longest,180.0,1.1464,2.1097,3.181,150.9,9,"83,1;82,9"
2802,180.52,cc_longest,180.0,1.1464,2.6716,6.385,121.7,10,"375,21;371,28"
1397,180.52,polyline,,,0.6913,,,9,
2948,180.52,polyline,,,0.9103,,,9,
999,180.52,polyline,,,0.7852,,,9,
3239,180.52,polyline,,,0.8815,,,0,
1941,180.52,polyline,,,0.8775,,,9,
1854,180.52,polyline,,,1.0135,,,0,
1512,177.17,polyline,,,0.8393,,,8,
3596,175.78,polyline,,,0.7658,,,10,
80,172.43,polyline,,,0.869,,,9,
1345,172.43,polyline,,,0.9705,,,9,
1849,169.08,polyline,,,0.8788,,,8,
819,169.08,polyline,,,0.894,,,8,
1201,169.08,polyline,,,0.9031,,,8,
2012,169.08,polyline,,,0.7843,,,0,
1499,169.08,polyline,,,1.3159,,,8,
1656,169.08,polyline,,,0.7064,,,8,
1550,169.08,polyline,,,0.8356,,,8,
3638,169.08,polyline,,,0.9304,,,8,
1801,169.08,polyline,,,0.852,,,8,
3416,164.34,polyline,,,0.8291,,,13,
2418,160.99,polyline,,,1.1187,,,8,
1461,160.99,polyline,,,0.8421,,,8,
